X,Y,FID,objectid,type,feature_gp,feature_id,asset_id,site_code,site_name,plot_no,location,prim_meas,unit,xy_accurac,sym_code,sym_rot,modified,sculpture,artist,installed,photo_link,label,GlobalID
174.77721,-41.28877529,1,0,P-Sculpture,PSCU,25,1321112,P1019,Civic Centre Complex,7000247,"Civic Square, suspended between MOB and Art Gallery.   Title/Year: Ferns (1998). Artist: Neil Dawson. Consists of Aluminium . Origin/Provenance: Commissioned by Wellington Sculpture Trust, the New Zealand Festival of the Arts and the Wellington City",1,No., ,0,0,2006-08-07T00:00:00.000Z,The Ferns,Neil Dawson,1998, ,no,{2BF979B6-F111-4ECB-9AA6-F3069D92ABFE}
174.7775287,-41.28903118,2,0,P-Sculpture,PSCU,26,1321113,P1019,Civic Centre Complex,7000248,Civic Square.   Title/Year: Pig (1995). Artist: Alan Hobbs. Consists of Oamaru Stone.,1,No., ,0,0,2006-08-07T00:00:00.000Z,The Pig,Alan Hobbs,1995, ,no,{EBBFAF88-621F-4D32-ADF8-487AA3472098}
174.7776281,-41.28912996,3,0,P-Sculpture,PSCU,18,1378374,P1019,Civic Centre Complex,7000252,"Anchor Stone - Large carved stone with mooring rope. Has small plaque with wording ""Anchor Stone - Ra Vincent Presented to Wellington City Council by the Wellington Tenths Trust nga tekau o poneke in celebration of the Wellington Town Hall Centenary",1,No., ,0,0,2006-08-07T00:00:00.000Z,Anchor Stone,Ra Vincent,2004, ,no,{7352503E-D458-498D-BD0E-C448ED7B3A51}
174.777552,-41.28877964,4,0,P-Sculpture,PSCU,20,1321110,P1019,Civic Centre Complex,7000245,"Entrance to City to Sea bridge.   Title/Year: Prow. Artist: Matt Pine. Consists of Oamaru Stone, black plaque.",1,No., ,0,0,2006-08-07T00:00:00.000Z,Capital and Prow,M Pine,1991, ,no,{7F777FF3-3A4F-4E7F-BD6F-6F5A03DFCA5B}
174.7785641,-41.28871249,5,0,P-Sculpture,PSCU,21,1321108,P1019,Civic Centre Complex,7000243,"Civic Square and across Jervois Quay to Frank Kitts Park.   Title/Year: The City to Sea Bridge (1992-1993): Whales, Birds, Patiki (flounder), Upright Pous, Fish (near lagoon). Artist: John Gray/Rewi Thompson/Para Matchitt. Consists of Concrete, wood,",1,No., ,0,0,2006-08-07T00:00:00.000Z,City to Sea Bridge,Para Matchitt,1992, ,no,{C14484BC-8796-4A48-A8D4-916BC5E13966}
174.777868,-41.28898895,6,0,P-Sculpture,PSCU,22,1321109,P1019,Civic Centre Complex,7000244,"Civic Square and Harris St.   Title/Year: Nikaus (17 individual trees). Artist: Ian Athfield. Consists of Copper, zinc and steel.",17,No., ,0,0,2006-08-07T00:00:00.000Z,Nikaus,Ian Athfield,1991, ,no,{415E9375-1489-46F5-AFDE-98F654E9FEDF}
174.7767735,-41.28885063,7,0,P-Sculpture,PSCU,23,1321114,P1019,Civic Centre Complex,7000249,"Civic Square.   Title/Year: Seven Steps to Heaven / Sea to Sky (2000). Artist: Mary Louise Brown. Consists of Basalt/granite. Origin/Provenance: Civic Square development project.  Comments: Creative Places Award, WCC and Summer City 1998.  Presented",1,No., ,0,0,2006-08-07T00:00:00.000Z,Seven Steps to Heaven/Sea to Sky,Mary Louise Brown,2000, ,no,{D7EE84D7-8366-4000-81DB-D61F53B844CB}
174.7766809,-41.28860247,8,0,P-Sculpture,PSCU,24,1321111,P1019,Civic Centre Complex,7000246,Title/Year: Silent People 1991: Five columns of boulders. Artist: Chris Booth. Consists of Taranaki Andesite boulders and Galvanised steel rods.,1,No., ,0,0,2006-08-07T00:00:00.000Z,Silent People,Chris Booth,1991, ,no,{E9C3415D-00DE-4258-8EC8-D72177BC2762}
174.7782308,-41.2889891,9,0,P-Sculpture,PSCU,27,1321107,P1019,Civic Centre Complex,7000242,"Adjacent to City to Sea bridge.  Title/Year: Reflected Pools (1991): Three seats surrounding lawn area. Artist: Charlotte Fisher. Consists of Wood, paving, grass.",1,No., ,0,0,2006-08-07T00:00:00.000Z, The Pool,Fisher,1994, ,no,{5BB4CEA5-018A-4C9E-AAD7-9A1209F48D7B}
174.778545,-41.27882442,10,0,P-Sculpture,PSCU,42,1384455,R0226,Bunny St,7000131,Bunny Street/Lambton Quay.   Title/Year: Bunny Street Sculptural Sign - Buzzy Bee (2006). Artist: Designed by Hugh Nicholson (WCC) Built by Bob Sharpe (Citi-Ops). Consists of Painted sculpture made of aluminium mounted on sign base.,1,No., ,0,0,2006-08-07T00:00:00.000Z,Buzzy Bee Sculptural Sign,"Hugh Nicholson, Bob Sharpe",2006, ,no,{06CFD6E5-56C8-4F68-B2E4-B8AA2675DEBA}
